录入项目发起数据,Task1_StartProject
录入项目启动及分派数据,Task2_LaunchProject
录入招标代理单位合同数据,Task3_BiddingAgencyContract
录入项目前期咨询单位合同数据,Task4_EarlyStageConsultationContract
录入可研数据,Task5_FeasibilityReport
录入工程必备资料数据,Task6_EngineeringNecessaryInformation
录入勘察单位合同数据,Task7_SurveyCompanyContract
录入勘察单位成果数据,Task8_SurveyResult
录入设计单位合同数据,Task9_DesignContract
录入设计成果数据,Task10_Design
录入投资概算数据,Task11_InvestmentBudgetaryEstimate
录入造价咨询合同数据,Task12_CostConsultationContract
录入造价咨询单位成果数据,Task13_CostConsultation
录入工程预算造价审批数据,Task14_ProjectBudgetCostApproval
录入施工合同数据,Task15_ConstructionContract
录入监理单位合同数据,Task16_SupervisionContract
录入工程施工数据,Task17_Construction
录入月进度报告数据,Task18_MonthlyProgressReport
录入工程竣工验收数据,Task19_ProjectFinalAcceptance
录入项目质保数据,Task20_QualityAssurance
项目关闭,Task21_CloseProject
